Gene	Safety_Score (0-28)	Safety_Profile_Assessment	Tissue_with_Safety_Concern
TSPAN6	2	not good	many tissues
FGR	5	not good	many tissues
ENPP4	8	not good	many tissues
CFTR	25	very good	Pancreas:Salivary_Gland:Small_Intestine
CD99	0	not good	many tissues
AOC1	26	very good	Kidney:Small_Intestine
CFLAR	0	not good	many tissues
TFPI	3	not good	many tissues
SLC7A2	7	not good	many tissues
PLXND1	0	not good	many tissues
CD38	26	very good	Blood:Spleen
SLC22A16	28	very good	many tissues
ABCB5	28	very good	many tissues
SLC4A1	26	very good	Blood:Kidney
CALCR	28	very good	many tissues
THSD7A	27	very good	Nerve
SPPL2B	0	not good	many tissues
ABCB4	25	very good	Adrenal_Gland:Liver:Spleen
KMT2E	0	not good	many tissues
ITGAL	22	good	Blood:Fallopian_Tube:Liver:Lung:Small_Intestine:Spleen
ITGA3	2	not good	many tissues
LAMP2	0	not good	many tissues
ITGA2B	23	good	Blood:Lung:Pituitary:Spleen:Thyroid
ABCC8	20	not good	many tissues
CACNG3	27	very good	Brain
TMEM132A	8	not good	many tissues
CX3CL1	4	not good	many tissues
CACNA1G	27	very good	Cervix_Uteri
TNFRSF12A	2	not good	many tissues
RALA	0	not good	many tissues
TBXA2R	23	good	Adrenal_Gland:Blood_Vessel:Liver:Nerve:Spleen
ADIPOR2	0	not good	many tissues
PRSS21	28	very good	many tissues
PROM1	22	good	Breast:Kidney:Pancreas:Salivary_Gland:Small_Intestine:Stomach
CEACAM21	25	very good	Blood:Lung:Spleen
SLC13A2	25	very good	Kidney:Salivary_Gland:Small_Intestine
CEACAM7	27	very good	Vagina
CD79B	15	not good	many tissues
SCN4A	25	very good	Adipose_Tissue:Breast:Muscle
CACNA2D2	25	very good	Brain:Lung:Pituitary
SELE	26	very good	Fallopian_Tube:Thyroid
NOX1	28	very good	many tissues
ADAM22	26	very good	Adrenal_Gland:Brain
SYPL1	0	not good	many tissues
CELSR3	26	very good	Brain:Pituitary
PKD1	0	not good	many tissues
RHOBTB2	3	not good	many tissues
TENM1	28	very good	many tissues
IYD	26	very good	Liver:Thyroid
POMT2	0	not good	many tissues
CD9	0	not good	many tissues
GIPR	21	good	Adipose_Tissue:Breast:Heart:Pancreas:Prostate:Salivary_Gland:Small_Intestine:Stomach
STAB1	0	not good	many tissues
SLC6A13	24	good	Brain:Kidney:Liver:Thyroid
CD4	5	not good	many tissues
HFE	21	good	Adrenal_Gland:Bladder:Blood_Vessel:Colon:Ovary:Salivary_Gland:Spleen
